,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
46,tt2203308,movie,Aashiqui 2,Aashiqui 2,0,2013,\N,132,"Drama,Music,Musical"
47,tt0445922,movie,Across the Universe,Across the Universe,0,2007,\N,133,"Drama,Fantasy,History"
48,tt0068182,movie,"Aguirre, the Wrath of God","Aguirre, der Zorn Gottes",0,1972,\N,95,"Action,Adventure,Biography"
49,tt4387040,movie,Airlift,Airlift,0,2016,\N,130,"Drama,History"
50,tt0094625,movie,Akira,Akira,0,1988,\N,124,"Action,Animation,Sci-Fi"
51,tt6139732,movie,Aladdin,Aladdin,0,2019,\N,128,"Adventure,Family,Fantasy"
52,tt0248667,movie,Ali,Ali,0,2001,\N,157,"Biography,Drama,Sport"
53,tt0078748,movie,Alien,Alien,0,1979,\N,117,"Horror,Sci-Fi"
54,tt0090605,movie,Aliens,Aliens,0,1986,\N,137,"Action,Adventure,Sci-Fi"
55,tt0437086,movie,Alita: Battle Angel,Alita: Battle Angel,0,2019,\N,122,"Action,Adventure,Sci-Fi"
56,tt0078754,movie,All That Jazz,All That Jazz,0,1979,\N,123,"Drama,Music,Musical"
57,tt0074119,movie,All the President's Men,All the President's Men,0,1976,\N,138,"Biography,Drama,History"
58,tt3640424,movie,Allied,Allied,0,2016,\N,124,"Action,Drama,Romance"
59,tt0181875,movie,Almost Famous,Almost Famous,0,2000,\N,122,"Adventure,Comedy,Drama"
60,tt0086879,movie,Amadeus,Amadeus,0,1984,\N,160,"Biography,Drama,History"
61,tt0169547,movie,American Beauty,American Beauty,0,1999,\N,122,Drama
62,tt0765429,movie,American Gangster,American Gangster,0,2007,\N,157,"Biography,Crime,Drama"
63,tt0120586,movie,American History X,American History X,0,1998,\N,119,Drama
64,tt2179136,movie,American Sniper,American Sniper,0,2014,\N,133,"Action,Biography,Drama"
65,tt0245712,movie,Amores Perros,Amores perros,0,2000,\N,154,"Drama,Thriller"
66,tt1602620,movie,Amour,Amour,0,2012,\N,127,"Drama,Romance"
67,tt0211915,movie,Amélie,Le fabuleux destin d'Amélie Poulain,0,2001,\N,122,"Comedy,Romance"
68,tt0802948,movie,An American Crime,An American Crime,0,2007,\N,98,"Biography,Crime,Drama"
69,tt0082010,movie,An American Werewolf in London,An American Werewolf in London,0,1981,\N,97,"Comedy,Horror"
70,tt0118617,movie,Anastasia,Anastasia,0,1997,\N,94,"Adventure,Animation,Drama"
71,tt0109117,movie,Andaz Apna Apna,Andaz Apna Apna,0,1994,\N,160,"Action,Comedy,Romance"
72,tt8108198,movie,Andhadhun,Andhadhun,0,2018,\N,139,"Crime,Drama,Music"
73,tt0092563,movie,Angel Heart,Angel Heart,0,1987,\N,113,"Horror,Mystery,Thriller"
74,tt0075686,movie,Annie Hall,Annie Hall,0,1977,\N,93,"Comedy,Romance"
75,tt2401878,movie,Anomalisa,Anomalisa,0,2015,\N,90,"Animation,Comedy,Drama"
76,tt1549572,movie,Another Earth,Another Earth,0,2011,\N,92,"Drama,Romance,Sci-Fi"
77,tt0478970,movie,Ant-Man,Ant-Man,0,2015,\N,117,"Action,Adventure,Comedy"
78,tt5095030,movie,Ant-Man and the Wasp,Ant-Man and the Wasp,0,2018,\N,118,"Action,Adventure,Comedy"
79,tt4190530,movie,Anthropoid,Anthropoid,0,2016,\N,120,"Action,Biography,Drama"
80,tt0146838,movie,Any Given Sunday,Any Given Sunday,0,1999,\N,162,"Drama,Sport"
81,tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,\N,147,"Drama,Mystery,War"
82,tt0472043,movie,Apocalypto,Apocalypto,0,2006,\N,139,"Action,Adventure,Drama"
