,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
148,nm1310016,Brian Geraghty,1975,\N,"actor,producer","tt1907668,tt0887912,tt0406816,tt0308055"
149,nm0488953,Brie Larson,1989,\N,"actress,soundtrack,producer","tt4154664,tt4154796,tt2370248,tt3170832"
150,nm1779870,Brit Marling,1982,\N,"actress,writer,producer","tt4635282,tt1748207,tt1549572,tt1869716"
151,nm0811242,Brittany Snow,1986,\N,"actress,soundtrack,producer","tt1981677,tt0427327,tt0926129,tt2848292"
152,nm0002024,Broderick Crawford,1911,1986,"actor,producer,soundtrack","tt0047879,tt0042276,tt0041113,tt0034965"
153,nm0001621,Bronson Pinchot,1959,\N,"actor,soundtrack","tt0108399,tt0086960,tt0109254,tt0086200"
154,nm0132257,Bruce Campbell,1958,\N,"actor,producer,writer","tt0106308,tt0083907,tt0281686,tt0092991"
155,nm0001117,Bruce Davison,1946,\N,"actor,director,producer","tt0108122,tt0290334,tt0120903,tt0115988"
156,nm0001136,Bruce Dern,1936,\N,"actor,producer,soundtrack","tt0068421,tt3460252,tt0096734,tt1821549"
157,nm0000045,Bruce Lee,1940,1973,"actor,writer,miscellaneous","tt0070034,tt0068935,tt0077594,tt0068767"
158,nm0000246,Bruce Willis,1955,\N,"actor,soundtrack,producer","tt0088571,tt0167404,tt0110912,tt0095016"
159,nm0004486,Bruno Ganz,1941,2019,"actor,director,cinematographer","tt1401152,tt0363163,tt0093191,tt4003440"
160,nm0186505,Bryan Cranston,1956,\N,"actor,producer,director","tt0212671,tt0903747,tt5104604,tt1024648"
161,nm0580565,Burgess Meredith,1907,1997,"actor,soundtrack,writer","tt0075148,tt0082186,tt0084602,tt0079817"
162,nm0412322,Burl Ives,1909,1995,"actor,soundtrack","tt0058536,tt0051459,tt0108399,tt0051411"
163,nm0000044,Burt Lancaster,1913,1994,"actor,producer,miscellaneous","tt0051036,tt0080388,tt0045793,tt0050468"
164,nm0000608,Burt Reynolds,1936,2018,"actor,director,producer","tt0117765,tt0068473,tt0118749,tt0076729"
165,nm0949350,Burt Young,1940,\N,"actor,writer,soundtrack","tt0075148,tt1606392,tt0071315"
166,nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0015324,tt0017925,tt0019421,tt0016332"
167,nm0067367,Bérénice Bejo,1976,\N,"actress,cinematographer","tt1655442,tt0183790,tt2404461,tt0464913"
168,nm1544217,Cam Gigandet,1982,\N,"actor,soundtrack","tt0822847,tt1099212,tt1023111,tt1126591"
169,nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0119738,tt0259711,tt0160127,tt0129387"
170,nm0000298,Candice Bergen,1946,\N,"actress,producer,soundtrack","tt0901476,tt0256415,tt0094514,tt0212346"
171,nm1659547,Carey Mulligan,1985,\N,"actress,soundtrack,producer","tt3077214,tt1723811,tt1174732,tt1334260"
172,nm0005348,Carl Reiner,1922,2020,"writer,producer,actor","tt0079367,tt0054533,tt0240772,tt0496806"
173,nm0000544,Carmen Miranda,1909,1955,"soundtrack,actress,miscellaneous","tt0039277,tt0037295,tt0035916,tt0036881"
174,nm0000993,Carol Burnett,1933,\N,"soundtrack,actress,producer","tt0105017,tt0082405,tt0061240,tt0083564"
175,nm0001406,Carol Kane,1952,\N,"actress,soundtrack","tt0395699,tt0096061,tt0093779,tt0106220"
176,nm0001479,Carole Lombard,1908,1942,"actress,soundtrack","tt0029322,tt0035446,tt0023659,tt0028010"
177,nm1247855,Carrie Brownstein,1974,\N,"writer,actress,producer","tt1780441,tt0119314,tt3502262,tt2402927"
178,nm0000402,Carrie Fisher,1956,2016,"actress,miscellaneous,soundtrack","tt0076759,tt0080684,tt0086190,tt2527336"
179,nm0005251,Carrie-Anne Moss,1967,\N,"actress,producer","tt0209144,tt0457572,tt0242653,tt0133093"
180,nm0005279,Carroll O'Connor,1924,2001,"actor,music_department,producer","tt0122459,tt0066626,tt0094484,tt0078562"
181,nm0000144,Cary Elwes,1962,\N,"actor,producer,director","tt0387564,tt0093779,tt0107977,tt0119468"
182,nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer","tt0034248,tt0056923,tt0048728,tt0053125"
183,nm0000729,Casey Affleck,1975,\N,"actor,producer,writer","tt0452623,tt4034228,tt0443680,tt0496806"
