,tconst,Unnamed: 0,Unnamed: 0.1,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,actors,awards,country,language,budget,worldwideGross,oscarsWon,oscarsNom,goldenGlobesWon,goldenGlobesNom,totalWins,totalNoms
30,tt2066051,30,3966635,movie,Rocketman,Rocketman,0,2019,\N,121,"Biography,Drama,Music",7.3,140379.0,nm0002077,nm0355822,"Taron Egerton,Jamie Bell,Richard Madden,Bryce Dallas Howard,Gemma Jones,Steven Mackintosh,Tom Bennett,Matthew Illesley,Kit Connor,Charlie Rowe","Won1Oscar,20wins75nominations","UK,USA,Canada",English,"$40,000,000","$195,179,299",1,0,0,0,20,75
31,tt8372368,31,6938869,movie,Rocketman,Rocketman,0,2019,\N,94,"Adventure,Comedy,Documentary",6.3,154.0,"nm2291121,nm0513005","nm2291121,nm0513005","""Mad Mike Hughes"",Waldo Stakes,Patrick Marchese",,USA,English,,,0,0,0,0,0,
32,tt8359848,32,6932980,movie,Climax,Climax,0,2018,\N,97,"Drama,Horror,Music",7.0,53646.0,nm0637615,nm0637615,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,Kiddy Smile,Claude-Emmanuelle Gajan-Maull,Giselle Palmer,Taylor Kastle,Thea Carla Schott,Sharleen Temple,Lea Vlamos",5wins13nominations,"France,Belgium","French,English","EUR2,600,000","$2,027,391",0,0,0,0,5,13
33,tt1605717,33,3524669,movie,Frank,Frank,0,2014,\N,95,"Comedy,Drama,Music",7.0,75214.0,nm1049433,"nm0740160,nm1661186","Domhnall Gleeson,Moira Brooker,Paul Butterworth,Phil Kingston,Billie Traynor,""Shane OBrien"",Scoot McNairy,Maggie Gyllenhaal,François Civil,Carla Azar",13wins18nominations,"UK,Ireland","English,French,German",,"$1,897,363",0,0,0,0,13,18
34,tt8079248,34,6801623,movie,Yesterday,Yesterday,0,2019,\N,116,"Comedy,Fantasy,Music",6.8,115785.0,nm0000965,"nm0193485,nm0058539","Himesh Patel,Lily James,Sophia Di Martino,Ellise Chappell,Meera Syal,Harry Michell,Vincent Franklin,Joel Fry,Michael Kiwanuka,Karma Sood",1win18nominations,"UK,China,Japan,USA","English,Portuguese,Japanese","$26,000,000","$153,178,480",0,0,0,0,1,18
35,tt0238936,35,229173,movie,Devdas,Devdas,0,2002,\N,185,"Drama,Musical,Romance",7.6,38576.0,nm0080220,"nm0154158,nm1165501,nm0080220","Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit,Jackie Shroff,Kirron Kher,Smita Jaykar,Tiku Talsania,Vijayendra Ghatge,Milind Gunaji,Ananya Khare","Nominated1BAFTAFilmAward,57wins9nominations",India,Hindi,"INR500,000,000","$5,427,830",0,0,0,0,57,9
36,tt0322004,36,308672,movie,Devdas,Devdas,0,2002,\N,140,"Drama,Romance",7.3,91.0,"nm1062896,nm0759662",nm0154158,"Prasenjit Chatterjee,Tapas Pal,Arpita Pal,Indrani Haldar",,India,Bengali,,,0,0,0,0,0,
37,tt7668870,37,6609603,movie,Searching,Searching,0,2018,\N,102,"Drama,Mystery,Thriller",7.6,142021.0,nm3792134,"nm3792134,nm3539578","John Cho,Sara Sohn,Alex Jayne Go,Megan Liu,Kya Dawn Lau,Michelle La,Joseph Lee,Dominic Hoffman,Sylvia Minassian,Melissa Disney",6wins10nominations,"USA,Russia",English,"$880,000","$75,462,037",0,0,0,0,6,10
38,tt0918927,38,890403,movie,Doubt,Doubt,0,2008,\N,104,"Drama,Mystery",7.5,122249.0,nm0788234,nm0788234,"Meryl Streep,Philip Seymour Hoffman,Amy Adams,Viola Davis,Alice Drummond,Audrie Neenan,Susan Blommaert,Carrie Preston,John Costelloe,Lloyd Clay Brown","Nominated5Oscars,26wins90nominations",USA,English,"$20,000,000","$51,699,984",0,5,0,0,26,90
39,tt1655442,39,3572736,movie,The Artist,The Artist,0,2011,\N,100,"Comedy,Drama,Romance",7.9,231303.0,nm0371890,nm0371890,"Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,Penelope Ann Miller,Missi Pyle,Beth Grant,Ed Lauter,Joel Murray,Elizabeth Tulloch","Won5Oscars,156wins204nominations","France,Belgium,USA","English,French","$15,000,000","$133,432,856",5,0,0,0,156,204
